,dien_tich,huong_ban_cong,phong_ngu,id_thanh_pho,ten_thanh_pho,id_quan,ten_quan,so_tang,mat_tien,noi_that,huong_nha,so_do,lat,long,gia,gia_m2,du_an,project_name,id_duong,ten_duong,do_rong_duong,do_rong_duong_ml,id_phuong,ten_phuong
4672,50.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,Tây Nam,Sổ đỏ,21.0059718,105.6923822,950.0,19.0,,,5e958eef208d0d6d76490e50,Đường Đại lộ Thăng Long,,,5e5501cceb80a7245175e258,Xã An Thượng
4673,38.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,,Sổ hồng/ Sổ đỏ,21.0685037,105.7101815,2030.0,53.421053,,,5e958eef208d0d6d76490e6e,Đường Quốc lộ 32,4.5,Ngõ 1 ô tô,5e5501cceb80a7245175e248,Thị trấn Trạm Trôi
4674,60.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,4.0,,Tây-Bắc,,20.9663868,105.7279172,2700.0,45.0,,,5e958eef208d0d6d76490e53,Đường La Tinh,10.0,Ngõ 4 ô tô tránh,,
4675,33.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,,,21.0472399,105.708851,1350.0,40.909091,,,,,,,5e5501cceb80a7245175e252,Xã Vân Canh
4676,50.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,Bắc,Sổ đỏ,21.0096918,105.7129232,1800.0,36.0,,,5e958eef208d0d6d76490e50,Đường Đại lộ Thăng Long,,,5e5501cceb80a7245175e257,Xã An Khánh
4677,46.8,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,,,21.0458514,105.7204476,,,,,,,,,5e5501cceb80a7245175e24c,Xã Di Trạch
4678,62.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,4.0,,Tây-Nam,,21.0695919,105.703447,,,,,,,11.0,Ngõ 4 ô tô trở lên,,
4679,45.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,5.0,,KXĐ,,21.0776081,105.6911121,,,,,,,6.0,Ngõ 2 ô tô tránh,5e5501cceb80a7245175e249,Xã Đức Thượng
4680,50.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,5.0,,KXĐ,,21.033149,105.7321831,3700.0,60.0,,,5e958eef208d0d6d76490e7b,Đường Vân Canh,10.0,Ngõ 4 ô tô tránh,5e5501cceb80a7245175e252,Xã Vân Canh
4681,142.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,9.2,,,Sổ đỏ chính chủ.,21.0468328,105.6769947,4686.0,33.0,,,5e958eef208d0d6d76490e47,Đường 422,,,5e5501cceb80a7245175e253,Xã Đắc Sở
4682,40.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,Đông Nam,Sổ đỏ,20.9704838,105.7204476,1150.0,28.75,,,5e958eef208d0d6d76490e53,Đường La Tinh,,,5e5501cceb80a7245175e25b,Xã Đông La
4683,75.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,Đông Nam,Sổ đỏ,20.9704838,105.7204476,3375.0,45.0,,,5e958eef208d0d6d76490e53,Đường La Tinh,,,5e5501cceb80a7245175e25b,Xã Đông La
4684,75.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,Đông Nam,Sổ đỏ,20.9655719,105.7214316,3375.0,45.0,,,5e958eef208d0d6d76490e51,Đường Đồng Lầu,,,5e5501cceb80a7245175e25b,Xã Đông La
4685,48.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,4.5,,Bắc,,20.9916901,105.7014199,3216.0,67.0,,,5e958eef208d0d6d76490e79,Đường Vành Đai 3.5,9.0,Ngõ 4 ô tô tránh,,
4686,46.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,4.0,,Đông,,20.9917365,105.6793792,900.0,19.565217391304348,,,,,2.2,Ngõ ngách,5e5501cceb80a7245175e259,Xã Vân Côn
4687,50.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,4.0,,Đông,,20.9916901,105.7014199,3000.0,60.0,,,5e958eef208d0d6d76490e79,Đường Vành Đai 3.5,12.0,Ngõ 4 ô tô trở lên,,
4688,38.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,Đông-Bắc,,21.0695919,105.703447,1440.0,37.89473684210526,,,5e958eef208d0d6d76490e81,Đường Yên Vĩnh,,,,
4689,45.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,3.5,,KXĐ,,20.998193,105.7192643,2200.0,48.888888888888886,,,,,12.0,Ngõ 4 ô tô trở lên,5e5501cceb80a7245175e257,Xã An Khánh
4690,70.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,,,21.0390832,105.7271124,2650.0,37.857143,,,,,,,5e5501cceb80a7245175e252,Xã Vân Canh
4691,3500.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,,,21.0109475,105.7209091,25000.0,7.142857,,,5e958eef208d0d6d76490e55,Đường Láng Hòa Lạc,,,5e5501cceb80a7245175e257,Xã An Khánh
4692,75.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,5.0,,,,21.0528869,105.726537,4350.0,58.0,,,5e958eef208d0d6d76490e46,Đường 32,,,5e5501cceb80a7245175e24f,Xã Kim Chung
4693,73.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,,Đã có sổ.,21.0041457,105.6781223,1533.0,21.0,,,5e958eef208d0d6d76490e50,Đường Đại lộ Thăng Long,,,5e5501cceb80a7245175e259,Xã Vân Côn
4694,50.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,4.0,,Đông-Nam,,20.98638,105.7404223,,,,,5e958eef208d0d6d76490e84,Phố Lê Trọng Tấn,,,,
4695,37.6,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,KXĐ,,21.0695919,105.703447,1930.0,51.32978723404255,,,,,,,5e5501cceb80a7245175e248,Thị trấn Trạm Trôi
4696,58.6,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,Tây-Nam,,21.0776081,105.6911121,3017.9,51.5,,,,,,,5e5501cceb80a7245175e249,Xã Đức Thượng
4697,37.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,Tây-Nam,Có sổ.,21.0361279,105.7270372,1535.5,41.5,,,5e958eef208d0d6d76490e7b,Đường Vân Canh,,,5e5501cceb80a7245175e252,Xã Vân Canh
4698,40.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,KXĐ,,20.9906471,105.707246,800.0,20.0,,,,,2.0,Ngõ ngách,,
4699,138.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,KXĐ,,21.0695919,105.703447,3000.0,21.73913043478261,,,5e958eef208d0d6d76490e46,Đường 32,15.0,Ngõ 4 ô tô trở lên,,
4700,42.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,,Sổ đỏ,21.046958,105.7087128,1900.0,45.238095,,,,,,,5e5501cceb80a7245175e24f,Xã Kim Chung
4701,50.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,,Sổ hồng/ Sổ đỏ,21.0007958,105.7333811,2000.0,40.0,,,5e958eef208d0d6d76490e84,Phố Lê Trọng Tấn,,,5e5501cceb80a7245175e257,Xã An Khánh
4702,40.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,3.33,,KXĐ,,21.0076161,105.7139529,1650.0,41.25,,,5e958eef208d0d6d76490e80,Đường Yên Lũng,3.0,Ngõ 1 ô tô,,
4703,41.3,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,,,21.0340509,105.725995,1700.0,41.16222760290557,,,5e958eef208d0d6d76490e7b,Đường Vân Canh,,,5e5501cceb80a7245175e252,Xã Vân Canh
4704,62.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,516.0,,Tây-Bắc,,21.0695919,105.703447,,,,,5e958eef208d0d6d76490e46,Đường 32,6.0,Ngõ 2 ô tô tránh,,
4705,70.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,5.0,,KXĐ,,21.066357,105.6720466,,43.0,,,,,15.0,Ngõ 4 ô tô trở lên,5e5501cceb80a7245175e24a,Xã Minh Khai
4706,168.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,8.2,,Nam,,21.0776081,105.6911121,,,,,,,5.0,Ngõ 2 ô tô tránh,5e5501cceb80a7245175e249,Xã Đức Thượng
4707,45.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,4.0,,KXĐ,,21.0695919,105.703447,,,,,5e958eef208d0d6d76490e46,Đường 32,3.5,Ngõ 1 ô tô,,
4708,63.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,4.2,,KXĐ,,21.0695919,105.703447,,,,,5e958eef208d0d6d76490e51,Đường Đồng Lầu,9.0,Ngõ 4 ô tô tránh,,
4709,37.3,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,KXĐ,,21.0061954,105.7140072,1550.0,41.55495978552279,,,5e958eef208d0d6d76490e80,Đường Yên Lũng,,,,
4710,60.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,4.0,,,Sổ đỏ,21.0528869,105.726537,3780.0,63.0,,,5e958eef208d0d6d76490e46,Đường 32,,,5e5501cceb80a7245175e24f,Xã Kim Chung
4711,98.4,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,6.8,,Bắc,,20.9916901,105.7014199,8659.2,88.0,,,5e958eef208d0d6d76490e79,Đường Vành Đai 3.5,24.0,Ngõ 4 ô tô trở lên,,
4712,50.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,,Sổ đỏ,21.0783685,105.691437,2150.0,43.0,,,5e958eef208d0d6d76490e46,Đường 32,,,5e5501cceb80a7245175e249,Xã Đức Thượng
4713,44.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,,,21.0742608,105.6995262,2100.0,47.727273,,,5e958eef208d0d6d76490e46,Đường 32,,,5e5501cceb80a7245175e249,Xã Đức Thượng
4714,54.6,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,4.0,,Tây,,21.0695919,105.703447,3712.8,68.0,,,5e958eef208d0d6d76490e47,Đường 422,10.0,Ngõ 4 ô tô tránh,,
4715,75.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,KXĐ,,21.0695919,105.703447,,,,,5e958eef208d0d6d76490e46,Đường 32,8.0,Ngõ 3 ô tô tránh,,
4716,30.4,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,Bắc,,21.0776081,105.6911121,980.0,32.23684210526316,,,,,,,5e5501cceb80a7245175e249,Xã Đức Thượng
4717,50.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,15.0,,Đông-Nam,,21.0695919,105.703447,3600.0,70.0,,,5e958eef208d0d6d76490e47,Đường 422,6.0,Ngõ 2 ô tô tránh,,
4718,40.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,KXĐ,,21.0695919,105.703447,,,,,5e958eef208d0d6d76490e47,Đường 422,2.5,Ngõ 1 ô tô,,
4719,41.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,Đông-Nam,,21.0358075,105.7270487,2419.0,59.0,,,,,,,,
4720,81.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,KXĐ,,21.0776081,105.6911121,2997.0,37.0,,,,,,,5e5501cceb80a7245175e249,Xã Đức Thượng
4721,52.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,4.0,,,Có sổ.,21.0257122,105.7087868,2340.0,45.0,,,5e958eef208d0d6d76490e4a,Đường 442,,,5e5501cceb80a7245175e254,Xã Lại Yên
4722,48.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,4.5,,KXĐ,,21.0695919,105.703447,,,,,,,,,5e5501cceb80a7245175e248,Thị trấn Trạm Trôi
4723,33.4,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,5.0,,KXĐ,,21.0695919,105.703447,1570.0,45.808383233532936,,,5e958eef208d0d6d76490e81,Đường Yên Vĩnh,,,,
4724,40.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,3.3,,Tây,,21.0084966,105.7067042,1600.0,40.0,,,5e958eef208d0d6d76490e50,Đường Đại lộ Thăng Long,2.5,Ngõ 1 ô tô,,
4725,88.2,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,9.0,,Bắc,,21.0695919,105.703447,,,,,5e958eef208d0d6d76490e6f,Đường Quốc lộ 70,17.0,Ngõ 4 ô tô trở lên,,
4726,40.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,3.3,,Tây,,20.998193,105.7192643,1600.0,40.0,,,,,2.5,Ngõ 1 ô tô,5e5501cceb80a7245175e257,Xã An Khánh
4727,220.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,4.4,,Đông-Bắc,,21.0695919,105.703447,,,,,5e958eef208d0d6d76490e46,Đường 32,30.0,Ngõ 4 ô tô trở lên,,
4728,30.7,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,Đông-Bắc,,21.0695919,105.703447,1460.0,47.557003257328994,,,,,,,,
4729,50.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,3.8,,Nam,,20.998193,105.7192643,4200.0,84.0,,,,,,,5e5501cceb80a7245175e257,Xã An Khánh
4730,39.7,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,3.4,,Bắc,"Sổ đỏ chính chủ, pháp lý đảm bảo.",21.0290954,105.739862,1980.0,49.87405541561712,,,5e958eef208d0d6d76490e48,Đường 422A,,Ngõ 1 ô tô,5e5501cceb80a7245175e252,Xã Vân Canh
4731,38.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,3.3,,Bắc,"Sổ đỏ chính chủ, pháp lý đảm bảo.",21.0361279,105.7270372,1578.0,42.36842105263158,,,5e958eef208d0d6d76490e7b,Đường Vân Canh,,,5e5501cceb80a7245175e252,Xã Vân Canh
4732,35.6,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,,Đã có sổ,21.050267,105.7177538,1800.0,50.561797752808985,,,,,,,5e5501cceb80a7245175e24c,Xã Di Trạch
4733,45.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,5.0,,KXĐ,,20.9638928,105.721181,1260.0,28.0,,,5e958eef208d0d6d76490e83,Phố Đồng Nhân,2.5,Ngõ 1 ô tô,,
4734,50.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,5.0,,Tây-Bắc,Pháp lý đầy đủ.,21.0624427,105.7065841,,,,,5e958eef208d0d6d76490e47,Đường 422,,,5e5501cceb80a7245175e24d,Xã Đức Giang
4735,50.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de20,Huyện Hoài Đức,,,,,,21.0279052,105.7263152,3000.0,60.0,,,5e958eef208d0d6d76490e7b,Đường Vân Canh,,,5e5501cceb80a7245175e252,Xã Vân Canh
